"INDICATOR","HFA_42"

"HFA_42","UNDP Human Development Index (HDI)"

"UNIT_TYPE","Unit"
"SCORE","score"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"SCORE","Score"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1990","0.64"
"ALB","","ALL","1991","0.62"
"ALB","","ALL","1992","0.6"
"ALB","","ALL","1993","0.61"
"ALB","","ALL","1994","0.62"
"ALB","","ALL","1995","0.63"
"ALB","","ALL","1996","0.64"
"ALB","","ALL","1997","0.64"
"ALB","","ALL","1998","0.65"
"ALB","","ALL","1999","0.66"
"ALB","","ALL","2000","0.66"
"ALB","","ALL","2001","0.67"
"ALB","","ALL","2002","0.67"
"ALB","","ALL","2003","0.68"
"ALB","","ALL","2004","0.69"
"ALB","","ALL","2005","0.7"
"ALB","","ALL","2006","0.7"
"ALB","","ALL","2007","0.71"
"ALB","","ALL","2008","0.72"
"ALB","","ALL","2009","0.72"
"ALB","","ALL","2010","0.74"
"ALB","","ALL","2011","0.75"
"ALB","","ALL","2012","0.76"
"ALB","","ALL","2013","0.76"
"ALB","","ALL","2014","0.76"
"ALB","","ALL","2015","0.76"
"AND","","ALL","2010","0.82"
"AND","","ALL","2011","0.82"
"AND","","ALL","2012","0.84"
"AND","","ALL","2013","0.85"
"AND","","ALL","2014","0.86"
"AND","","ALL","2015","0.86"
"ARM","","ALL","1990","0.63"
"ARM","","ALL","1991","0.63"
"ARM","","ALL","1992","0.6"
"ARM","","ALL","1993","0.59"
"ARM","","ALL","1994","0.6"
"ARM","","ALL","1995","0.6"
"ARM","","ALL","1996","0.61"
"ARM","","ALL","1997","0.62"
"ARM","","ALL","1998","0.63"
"ARM","","ALL","1999","0.64"
"ARM","","ALL","2000","0.64"
"ARM","","ALL","2001","0.64"
"ARM","","ALL","2002","0.66"
"ARM","","ALL","2003","0.67"
"ARM","","ALL","2004","0.68"
"ARM","","ALL","2005","0.69"
"ARM","","ALL","2006","0.71"
"ARM","","ALL","2007","0.72"
"ARM","","ALL","2008","0.72"
"ARM","","ALL","2009","0.72"
"ARM","","ALL","2010","0.73"
"ARM","","ALL","2011","0.73"
"ARM","","ALL","2012","0.74"
"ARM","","ALL","2013","0.74"
"ARM","","ALL","2014","0.74"
"ARM","","ALL","2015","0.74"
"AUT","","ALL","1980","0.75"
"AUT","","ALL","1990","0.79"
"AUT","","ALL","1991","0.8"
"AUT","","ALL","1992","0.8"
"AUT","","ALL","1993","0.81"
"AUT","","ALL","1994","0.81"
"AUT","","ALL","1995","0.82"
"AUT","","ALL","1996","0.82"
"AUT","","ALL","1997","0.82"
"AUT","","ALL","1998","0.83"
"AUT","","ALL","1999","0.83"
"AUT","","ALL","2000","0.84"
"AUT","","ALL","2001","0.85"
"AUT","","ALL","2002","0.84"
"AUT","","ALL","2003","0.84"
"AUT","","ALL","2004","0.85"
"AUT","","ALL","2005","0.85"
"AUT","","ALL","2006","0.86"
"AUT","","ALL","2007","0.86"
"AUT","","ALL","2008","0.87"
"AUT","","ALL","2009","0.87"
"AUT","","ALL","2010","0.88"
"AUT","","ALL","2011","0.88"
"AUT","","ALL","2012","0.89"
"AUT","","ALL","2013","0.89"
"AUT","","ALL","2014","0.89"
